wGWAS	MODEL	n_test	n_eqtl	n_gwas	n_gwas_eqtl	frac_gwas	frac_all	enrich	log_enrich	log_enrich_meanJK	log_enrich_lowJK	log_enrich_highJK	GROUP
gwas_catalog	TReCASE	5543903	1210726	118568	41897	0.353358410363673	0.218388741650061	1.61802484731508	0.481206175326223	0.482585116219539	0.431905898369509	0.53326433406957	Adipose_Subcutaneous
gwas_catalog	OLS	5543903	887978	118568	32336	0.272721138924499	0.160171994351272	1.70267680082947	0.532201601420335	0.534228303236931	0.469442763327358	0.599013843146504	Adipose_Subcutaneous
Aging	TReCASE	5543903	1210726	1490	349	0.234228187919463	0.218388741650061	1.07252867592773	0.070019108924347	0.0741923240743003	-0.0819773080578944	0.230361956206495	Adipose_Subcutaneous
Aging	OLS	5543903	887978	1490	254	0.170469798657718	0.160171994351272	1.0642921651076	0.0623099444927154	0.0674995801430852	-0.109588188131621	0.244587348417791	Adipose_Subcutaneous
Anthropometric	TReCASE	5543903	1210726	16083	6703	0.416775477211963	0.218388741650061	1.90841100169802	0.646270959523735	0.64867889747134	0.565649021729634	0.731708773213046	Adipose_Subcutaneous
Anthropometric	OLS	5543903	887978	16083	5253	0.326618168252192	0.160171994351272	2.03917151419048	0.712543604871998	0.716216932015768	0.61327950781716	0.819154356214376	Adipose_Subcutaneous
Blood	TReCASE	5543903	1210726	26537	11924	0.449334890907035	0.218388741650061	2.05750025167064	0.721491775887739	0.721938652282134	0.675973928541188	0.767903376023081	Adipose_Subcutaneous
Blood	OLS	5543903	887978	26537	9285	0.34988883445755	0.160171994351272	2.18445700120466	0.781367285628842	0.781981386333585	0.729942235421391	0.83402053724578	Adipose_Subcutaneous
Cardiometabolic	TReCASE	5543903	1210726	12655	4550	0.359541683129198	0.218388741650061	1.64633799532265	0.498553424627196	0.499272478940855	0.438112747900105	0.560432209981605	Adipose_Subcutaneous
Cardiometabolic	OLS	5543903	887978	12655	3429	0.27096009482418	0.160171994351272	1.69168209412402	0.525723355897379	0.526577314253866	0.454373596045358	0.598781032462373	Adipose_Subcutaneous
Circadian	TReCASE	5543903	1210726	501	163	0.325349301397206	0.218388741650061	1.48977140002269	0.398622685383322	0.407546396922807	0.16775672080453	0.647336073041085	Adipose_Subcutaneous
Circadian	OLS	5543903	887978	501	123	0.245508982035928	0.160171994351272	1.53278344963043	0.427085330701236	0.437446965679615	0.169723003016484	0.705170928342747	Adipose_Subcutaneous
Colon	TReCASE	5543903	1210726	664	148	0.22289156626506	0.218388741650061	1.02061839168529	0.020408709949106	0.0242010121740593	-0.161374881509075	0.209776905857193	Adipose_Subcutaneous
Colon	OLS	5543903	887978	664	117	0.176204819277108	0.160171994351272	1.10009755444934	0.0953988617350059	0.101069881893854	-0.124059792080961	0.326199555868668	Adipose_Subcutaneous
Digestion	TReCASE	5543903	1210726	774	150	0.193798449612403	0.218388741650061	0.887401283363495	-0.119457993832047	-0.116045204533347	-0.262246238081035	0.0301558290143415	Adipose_Subcutaneous
Digestion	OLS	5543903	887978	774	106	0.136950904392765	0.160171994351272	0.855024031806827	-0.156625703063976	-0.151653401453276	-0.331265920424939	0.0279591175183871	Adipose_Subcutaneous
Education_wealth	TReCASE	5543903	1210726	4795	1516	0.316162669447341	0.218388741650061	1.44770589847507	0.369980164546203	0.372855564516299	0.239569535870454	0.506141593162145	Adipose_Subcutaneous
Education_wealth	OLS	5543903	887978	4795	1229	0.256308654848801	0.160171994351272	1.6002089247056	0.47013419866218	0.473894811178084	0.313023533216951	0.634766089139217	Adipose_Subcutaneous
Endocrine	TReCASE	5543903	1210726	613	184	0.300163132137031	0.218388741650061	1.37444416717233	0.318049407334199	0.32386757188294	0.13393460117591	0.51380054258997	Adipose_Subcutaneous
Endocrine	OLS	5543903	887978	613	142	0.231647634584013	0.160171994351272	1.44624305592392	0.368969198078733	0.378614672052658	0.132332942132291	0.624896401973025	Adipose_Subcutaneous
Eyes	TReCASE	5543903	1210726	2506	817	0.326017557861133	0.218388741650061	1.49283134010421	0.400674545065414	0.403745297180333	0.274815163963509	0.532675430397157	Adipose_Subcutaneous
Eyes	OLS	5543903	887978	2506	633	0.252593774940144	0.160171994351272	1.57701585700545	0.455534363101846	0.460532371481523	0.29360370135669	0.627461041606356	Adipose_Subcutaneous
Female_reproduction	TReCASE	5543903	1210726	1281	422	0.329430132708821	0.218388741650061	1.50845748832918	0.411087597800702	0.413591439289553	0.304858978783428	0.522323899795679	Adipose_Subcutaneous
Female_reproduction	OLS	5543903	887978	1281	329	0.256830601092896	0.160171994351272	1.60346758578558	0.472168525282321	0.47596614234578	0.341137624230024	0.610794660461536	Adipose_Subcutaneous
Immune	TReCASE	5543903	1210726	4834	1944	0.402151427389326	0.218388741650061	1.84144761470222	0.610552009418381	0.619518489698544	0.454711973382039	0.784325006015049	Adipose_Subcutaneous
Immune	OLS	5543903	887978	4834	1584	0.327678940835747	0.160171994351272	2.04579422365883	0.715786087524626	0.728884287601299	0.520611659804158	0.937156915398441	Adipose_Subcutaneous
Kidney_urinary	TReCASE	5543903	1210726	2252	1006	0.446714031971581	0.218388741650061	2.0454993631832	0.715641947061528	0.717773936597551	0.623563992928403	0.8119838802667	Adipose_Subcutaneous
Kidney_urinary	OLS	5543903	887978	2252	814	0.36145648312611	0.160171994351272	2.25667717125007	0.813893453156643	0.816483998896963	0.707082639467932	0.925885358325994	Adipose_Subcutaneous
Liver	TReCASE	5543903	1210726	458	172	0.375545851528384	0.218388741650061	1.71962093233792	0.542103878360693	0.547521786552938	0.352362983822017	0.74268058928386	Adipose_Subcutaneous
