wGWAS	MODEL	n_test	n_eqtl	n_gwas	n_gwas_eqtl	frac_gwas	frac_all	enrich	log_enrich	log_enrich_meanJK	log_enrich_lowJK	log_enrich_highJK	GROUP
Liver	OLS	5543903	887978	458	139	0.303493449781659	0.160171994351272	1.89479722101774	0.63911182543019	0.645264099525071	0.436588241274478	0.853939957775663	Adipose_Subcutaneous
Morphology	TReCASE	5543903	1210726	967	292	0.301964839710445	0.218388741650061	1.38269416925486	0.324033892476412	0.33021817450966	0.138422088311919	0.5220142607074	Adipose_Subcutaneous
Morphology	OLS	5543903	887978	967	228	0.235780765253361	0.160171994351272	1.47204738386582	0.38665420991483	0.396223334682628	0.154596533610286	0.637850135754969	Adipose_Subcutaneous
Mouth_teeth	TReCASE	5543903	1210726	750	200	0.266666666666667	0.218388741650061	1.22106416590817	0.199722745679105	0.184201143151312	-0.171755208692995	0.540157494995619	Adipose_Subcutaneous
Mouth_teeth	OLS	5543903	887978	750	127	0.169333333333333	0.160171994351272	1.05719688400689	0.0556209563419187	0.044002919724437	-0.563065686999154	0.651071526448028	Adipose_Subcutaneous
Psychiatric_neurologic	TReCASE	5543903	1210726	15745	5104	0.324166402032391	0.218388741650061	1.48435491492425	0.394980277150925	0.397898021880376	0.300715993100827	0.495080050659924	Adipose_Subcutaneous
Psychiatric_neurologic	OLS	5543903	887978	15745	3988	0.253286757700857	0.160171994351272	1.58134234843437	0.458274073960287	0.46250651291239	0.338932447412073	0.586080578412707	Adipose_Subcutaneous
Respiratory	TReCASE	5543903	1210726	6797	2465	0.362659997057525	0.218388741650061	1.6606167255574	0.507189054791577	0.514811275623732	0.346265051558951	0.683357499688514	Adipose_Subcutaneous
Respiratory	OLS	5543903	887978	6797	1882	0.276886861850817	0.160171994351272	1.72868461164052	0.54736077921237	0.556528795369132	0.369908995872834	0.74314859486543	Adipose_Subcutaneous
Skeletal	TReCASE	5543903	1210726	4080	1324	0.324509803921569	0.218388741650061	1.48592734895443	0.396039054760171	0.397045286655788	0.318811338301289	0.475279235010287	Adipose_Subcutaneous
Skeletal	OLS	5543903	887978	4080	974	0.238725490196078	0.160171994351272	1.49043215178136	0.399066112658011	0.400479073252634	0.302437215597016	0.498520930908252	Adipose_Subcutaneous
Skin	TReCASE	5543903	1210726	1369	543	0.39663988312637	0.218388741650061	1.81621030520855	0.596752080306911	0.61137100636585	0.389316179433523	0.833425833298178	Adipose_Subcutaneous
Skin	OLS	5543903	887978	1369	427	0.31190650109569	0.160171994351272	1.94732232909363	0.666455264353859	0.69018056025539	0.387659923605881	0.992701196904899	Adipose_Subcutaneous
substance_addiction	TReCASE	5543903	1210726	1148	381	0.331881533101045	0.218388741650061	1.51968242773632	0.418501383908614	0.426070593559941	0.242537600428903	0.609603586690978	Adipose_Subcutaneous
substance_addiction	OLS	5543903	887978	1148	318	0.277003484320558	0.160171994351272	1.72941271938628	0.547781882314349	0.557269144605767	0.343029968221563	0.771508320989971	Adipose_Subcutaneous
gwas_catalog	TReCASE	5534272	1021462	118620	36532	0.307975046366549	0.184570256033675	1.668606052702	0.51198857889266	0.513837094034839	0.457659427528245	0.570014760541433	Adipose_Visceral_Omentum
gwas_catalog	OLS	5534272	680438	118620	25483	0.214828865284101	0.122949865854082	1.74728832595118	0.55806505814737	0.56097947414399	0.479104902644848	0.642854045643132	Adipose_Visceral_Omentum
Aging	TReCASE	5534272	1021462	1490	289	0.193959731543624	0.184570256033675	1.05087209451687	0.0496203856467348	0.0546146309846283	-0.120974772485264	0.23020403445452	Adipose_Visceral_Omentum
Aging	OLS	5534272	680438	1490	188	0.126174496644295	0.122949865854082	1.02622720055702	0.0258891652717184	0.0346010292463297	-0.194000363854264	0.263202422346924	Adipose_Visceral_Omentum
Anthropometric	TReCASE	5534272	1021462	16109	5694	0.353467006021479	0.184570256033675	1.91508108412109	0.649759963313825	0.653509130294688	0.554440526541891	0.752577734047485	Adipose_Visceral_Omentum
Anthropometric	OLS	5534272	680438	16109	4083	0.253460798311503	0.122949865854082	2.06149715211819	0.723432491702884	0.729299869770843	0.59556380805747	0.863035931484217	Adipose_Visceral_Omentum
Blood	TReCASE	5534272	1021462	26533	10478	0.394904458598726	0.184570256033675	2.1395888323776	0.760613676170591	0.761258788209294	0.713366163883993	0.809151412534596	Adipose_Visceral_Omentum
Blood	OLS	5534272	680438	26533	7327	0.276146685259865	0.122949865854082	2.24601046403417	0.809155515269856	0.809971579569264	0.74993496359292	0.870008195545609	Adipose_Visceral_Omentum
Cardiometabolic	TReCASE	5534272	1021462	12635	3902	0.308824693312228	0.184570256033675	1.67320943227105	0.51474359783457	0.515683374644616	0.451210088436284	0.580156660852948	Adipose_Visceral_Omentum
Cardiometabolic	OLS	5534272	680438	12635	2587	0.204748713889988	0.122949865854082	1.66530245858899	0.510006763745009	0.511170564173471	0.425044005277854	0.597297123069088	Adipose_Visceral_Omentum
Circadian	TReCASE	5534272	1021462	500	151	0.302	0.184570256033675	1.63623330481212	0.49239683486654	0.501424030512801	0.262806003641462	0.740042057384139	Adipose_Visceral_Omentum
Circadian	OLS	5534272	680438	500	91	0.182	0.122949865854082	1.48027815025028	0.392230009475932	0.406019219785837	0.0881884154531428	0.723850024118531	Adipose_Visceral_Omentum
Colon	TReCASE	5534272	1021462	664	132	0.198795180722892	0.184570256033675	1.07707051501636	0.0742448695837445	0.0795341933271013	-0.128126842934681	0.287195229588883	Adipose_Visceral_Omentum
Colon	OLS	5534272	680438	664	80	0.120481927710843	0.122949865854082	0.979927280716457	-0.0202769134212783	-0.0125073777835656	-0.272332921431129	0.247318165863998	Adipose_Visceral_Omentum
Digestion	TReCASE	5534272	1021462	777	122	0.157014157014157	0.184570256033675	0.850701301435641	-0.161694209160583	-0.156240616914015	-0.337233122549436	0.0247518887214064	Adipose_Visceral_Omentum
Digestion	OLS	5534272	680438	777	70	0.0900900900900901	0.122949865854082	0.732738417112306	-0.310966506937015	-0.303589241971341	-0.525542666020008	-0.0816358179226741	Adipose_Visceral_Omentum
Education_wealth	TReCASE	5534272	1021462	4773	1327	0.278022208254766	0.184570256033675	1.50632184312537	0.409670813800118	0.413629900355077	0.2630597062633	0.564200094446853	Adipose_Visceral_Omentum
Education_wealth	OLS	5534272	680438	4773	974	0.204064529645925	0.122949865854082	1.6597377169009	0.506659588017913	0.513071044747796	0.311013683648488	0.715128405847104	Adipose_Visceral_Omentum
Endocrine	TReCASE	5534272	1021462	617	173	0.280388978930308	0.184570256033675	1.51914498552329	0.418147667066199	0.425805473441398	0.212994008315179	0.638616938567616	Adipose_Visceral_Omentum
Endocrine	OLS	5534272	680438	617	118	0.191247974068071	0.122949865854082	1.55549558951977	0.441794201941551	0.454515740545567	0.174971360097192	0.734060120993943	Adipose_Visceral_Omentum
Eyes	TReCASE	5534272	1021462	2512	664	0.264331210191083	0.184570256033675	1.43214413780114	0.359172718362152	0.361781651894885	0.236278619036745	0.487284684753024	Adipose_Visceral_Omentum
Eyes	OLS	5534272	680438	2512	449	0.178742038216561	0.122949865854082	1.45377985551195	0.374166961535439	0.378616265877794	0.210669393066421	0.546563138689167	Adipose_Visceral_Omentum
Female_reproduction	TReCASE	5534272	1021462	1278	374	0.29264475743349	0.184570256033675	1.58554668407729	0.460929258950859	0.463875988942523	0.342729534428762	0.585022443456284	Adipose_Visceral_Omentum
Female_reproduction	OLS	5534272	680438	1278	262	0.205007824726135	0.122949865854082	1.66740990973866	0.511271470204891	0.51570921398343	0.363469131937557	0.667949296029304	Adipose_Visceral_Omentum
Immune	TReCASE	5534272	1021462	4844	1771	0.365606936416185	0.184570256033675	1.98085511865725	0.683528629583658	0.6951154540414	0.506431451008698	0.883799457074101	Adipose_Visceral_Omentum
Immune	OLS	5534272	680438	4844	1299	0.268166804293972	0.122949865854082	2.18110692867478	0.779832513378891	0.800748992114705	0.519975348432673	1.08152263579674	Adipose_Visceral_Omentum
Kidney_urinary	TReCASE	5534272	1021462	2252	941	0.41785079928952	0.184570256033675	2.26391190145655	0.817094246799606	0.819211526251046	0.72620006675183	0.912222985750261	Adipose_Visceral_Omentum
Kidney_urinary	OLS	5534272	680438	2252	670	0.297513321492007	0.122949865854082	2.41979378688464	0.883682324506705	0.886751441559041	0.762077711812506	1.01142517130558	Adipose_Visceral_Omentum
Liver	TReCASE	5534272	1021462	461	149	0.323210412147505	0.184570256033675	1.75115112853576	0.560273359422618	0.566434240310982	0.382098037441028	0.750770443180937	Adipose_Visceral_Omentum
Liver	OLS	5534272	680438	461	99	0.214750542299349	0.122949865854082	1.74665129406662	0.557700408519215	0.569515977348853	0.32060256050831	0.818429394189395	Adipose_Visceral_Omentum
Morphology	TReCASE	5534272	1021462	967	246	0.254395036194416	0.184570256033675	1.37831003576221	0.320858136952876	0.329507472684552	0.102730775316341	0.556284170052763	Adipose_Visceral_Omentum
Morphology	OLS	5534272	680438	967	195	0.201654601861427	0.122949865854082	1.64013681886203	0.494779664491726	0.503660820289045	0.264921244017381	0.74240039656071	Adipose_Visceral_Omentum
Mouth_teeth	TReCASE	5534272	1021462	752	170	0.226063829787234	0.184570256033675	1.22481181228891	0.20278720957423	0.183433378627626	-0.242266287098554	0.609133044353807	Adipose_Visceral_Omentum
Mouth_teeth	OLS	5534272	680438	752	111	0.147606382978723	0.122949865854082	1.20054122835648	0.182772478743768	0.170120412609113	-0.428253320660832	0.768494145879057	Adipose_Visceral_Omentum
Psychiatric_neurologic	TReCASE	5534272	1021462	15709	4529	0.288306066586034	0.184570256033675	1.56203969578626	0.445992464530082	0.450002296960383	0.338985335430696	0.56101925849007	Adipose_Visceral_Omentum
Psychiatric_neurologic	OLS	5534272	680438	15709	3287	0.20924310904577	0.122949865854082	1.70185715610379	0.531720099545554	0.537880727194043	0.387128963912183	0.688632490475903	Adipose_Visceral_Omentum
Respiratory	TReCASE	5534272	1021462	6804	2141	0.31466784244562	0.184570256033675	1.7048675621288	0.533487431547738	0.542486756305599	0.359482591268578	0.72549092134262	Adipose_Visceral_Omentum
Respiratory	OLS	5534272	680438	6804	1380	0.202821869488536	0.122949865854082	1.64963066921315	0.500551426016772	0.509093149501856	0.304508141356702	0.713678157647009	Adipose_Visceral_Omentum
Skeletal	TReCASE	5534272	1021462	4093	1108	0.270706083557293	0.184570256033675	1.46668314480694	0.383003487288634	0.384429313411509	0.288951756136765	0.479906870686253	Adipose_Visceral_Omentum
Skeletal	OLS	5534272	680438	4093	745	0.18201807964818	0.122949865854082	1.48042519919624	0.392329343268431	0.394512524775201	0.269309231576412	0.51971581797399	Adipose_Visceral_Omentum
Skin	TReCASE	5534272	1021462	1379	510	0.369833212472806	0.184570256033675	2.00375304461478	0.695021944398877	0.713787685225768	0.458019295839873	0.969556074611663	Adipose_Visceral_Omentum
Skin	OLS	5534272	680438	1379	367	0.266134880348078	0.122949865854082	2.16458048570732	0.772226571642543	0.801967884374703	0.458403322182143	1.14553244656726	Adipose_Visceral_Omentum
substance_addiction	TReCASE	5534272	1021462	1145	346	0.302183406113537	0.184570256033675	1.63722699749847	0.493003955543192	0.499067368817978	0.333326582549957	0.664808155085998	Adipose_Visceral_Omentum
substance_addiction	OLS	5534272	680438	1145	236	0.206113537117904	0.122949865854082	1.67640310695842	0.516650490418544	0.523908520502784	0.334001883150587	0.713815157854982	Adipose_Visceral_Omentum
gwas_catalog	TReCASE	5450087	1043144	117691	36717	0.31197797622588	0.19139951343896	1.6299831207532	0.488569659398919	0.490026631467806	0.439789260756169	0.540264002179443	Artery_Aorta
gwas_catalog	OLS	5450087	704646	117691	26014	0.221036442888581	0.129290780128831	1.70960715581058	0.53626361067769	0.538522271710933	0.471668370756976	0.605376172664891	Artery_Aorta
Aging	TReCASE	5450087	1043144	1469	278	0.189244383934649	0.19139951343896	0.988740151604421	-0.0113237204005282	-0.00797548401399698	-0.1605104927693	0.144559524741306	Artery_Aorta
Aging	OLS	5450087	704646	1469	185	0.125936010891763	0.129290780128831	0.974052525371685	-0.0262900493073068	-0.0214726492972183	-0.208509268725348	0.165563970130911	Artery_Aorta
Anthropometric	TReCASE	5450087	1043144	16082	5667	0.352381544584007	0.19139951343896	1.84107858088358	0.610351585144237	0.61331646000188	0.52677732222123	0.699855597782529	Artery_Aorta
Anthropometric	OLS	5450087	704646	16082	4067	0.252891431414003	0.129290780128831	1.95598967816585	0.670896294587376	0.67559726480655	0.563661896673613	0.787532632939487	Artery_Aorta
Blood	TReCASE	5450087	1043144	26536	10466	0.394407597226409	0.19139951343896	2.06065099194827	0.723021948387977	0.723456953154619	0.674641902383383	0.772272003925854	Artery_Aorta
Blood	OLS	5450087	704646	26536	7518	0.283313234850769	0.129290780128831	2.19128722534169	0.784489145285481	0.785064249386789	0.72772034602625	0.842408152747329	Artery_Aorta
Cardiometabolic	TReCASE	5450087	1043144	12545	4011	0.319728975687525	0.19139951343896	1.67047956362486	0.513110749052242	0.513785037488672	0.451116264738326	0.576453810239017	Artery_Aorta
Cardiometabolic	OLS	5450087	704646	12545	2847	0.226943005181347	0.129290780128831	1.75529148292872	0.562634930265761	0.56350329931438	0.482832053025911	0.644174545602849	Artery_Aorta
Circadian	TReCASE	5450087	1043144	489	131	0.267893660531697	0.19139951343896	1.39965695689782	0.336227175808991	0.343323521799353	0.137345121369039	0.549301922229667	Artery_Aorta
Circadian	OLS	5450087	704646	489	74	0.151329243353783	0.129290780128831	1.17045657240982	0.157393905517544	0.17204746427141	-0.137448675047073	0.481543603589894	Artery_Aorta
Colon	TReCASE	5450087	1043144	650	129	0.198461538461538	0.19139951343896	1.03689677625451	0.0362323835547014	0.0409706659582907	-0.162003501128986	0.243944833045567	Artery_Aorta
Colon	OLS	5450087	704646	650	97	0.149230769230769	0.129290780128831	1.15422591682152	0.143429917401946	0.151103743707088	-0.102241920786573	0.404449408200749	Artery_Aorta
Digestion	TReCASE	5450087	1043144	753	133	0.176626826029217	0.19139951343896	0.922817528925148	-0.0803237574954278	-0.0700970048012665	-0.312222350060023	0.17202834045749	Artery_Aorta
Digestion	OLS	5450087	704646	753	86	0.114209827357238	0.129290780128831	0.883356317004461	-0.12402662975814	-0.106909203916735	-0.431436822565169	0.217618414731699	Artery_Aorta
Education_wealth	TReCASE	5450087	1043144	4664	1409	0.302101200686106	0.19139951343896	1.57838019155911	0.456399125951064	0.460022808059203	0.325912157682875	0.59413345843553	Artery_Aorta
Education_wealth	OLS	5450087	704646	4664	1048	0.224699828473413	0.129290780128831	1.7379416246813	0.552701438638905	0.5586260017715	0.384069592199611	0.733182411343388	Artery_Aorta
Endocrine	TReCASE	5450087	1043144	616	163	0.26461038961039	0.19139951343896	1.38250293773489	0.323895579355955	0.330536893667208	0.118443248511985	0.542630538822431	Artery_Aorta
Endocrine	OLS	5450087	704646	616	126	0.204545454545455	0.129290780128831	1.58205754765836	0.458726245206204	0.467383792551848	0.219422895014617	0.715344690089079	Artery_Aorta
Eyes	TReCASE	5450087	1043144	2500	714	0.2856	0.19139951343896	1.49216680266579	0.400229293566004	0.403030495700234	0.273974393558202	0.532086597842265	Artery_Aorta
Eyes	OLS	5450087	704646	2500	447	0.1788	0.129290780128831	1.38292923765976	0.324203885545522	0.326849176892825	0.188145205861998	0.465553147923652	Artery_Aorta
Female_reproduction	TReCASE	5450087	1043144	1257	370	0.294351630867144	0.19139951343896	1.53789121810394	0.430412139130735	0.433131040188015	0.317577498441712	0.548684581934317	Artery_Aorta
Female_reproduction	OLS	5450087	704646	1257	266	0.211614956245028	0.129290780128831	1.63673663376588	0.492704401979697	0.497426531727074	0.349313663144307	0.64553940030984	Artery_Aorta
Immune	TReCASE	5450087	1043144	4832	1732	0.358443708609272	0.19139951343896	1.87275140970295	0.627408691590442	0.634392715839465	0.487793557125665	0.780991874553265	Artery_Aorta
Immune	OLS	5450087	704646	4832	1281	0.26510761589404	0.129290780128831	2.05047580059363	0.718071864070329	0.729683807035941	0.526857687117499	0.932509926954383	Artery_Aorta
Kidney_urinary	TReCASE	5450087	1043144	2236	901	0.402951699463327	0.19139951343896	2.10529113801449	0.74445376541606	0.746945161508569	0.646416368723634	0.847473954293503	Artery_Aorta
Kidney_urinary	OLS	5450087	704646	2236	710	0.317531305903399	0.129290780128831	2.45594701793119	0.898512437548617	0.902015887607163	0.775280262049483	1.02875151316484	Artery_Aorta
Liver	TReCASE	5450087	1043144	464	147	0.316810344827586	0.19139951343896	1.6552306697928	0.503940376635193	0.512893444919492	0.298077818562211	0.727709071276773	Artery_Aorta
Liver	OLS	5450087	704646	464	111	0.239224137931035	0.129290780128831	1.85027994797975	0.615336950874325	0.621786496870767	0.419839100200159	0.823733893541375	Artery_Aorta
Morphology	TReCASE	5450087	1043144	952	230	0.241596638655462	0.19139951343896	1.26226359887018	0.232906616214542	0.240343223998332	0.0271962217341959	0.453490226262467	Artery_Aorta
Morphology	OLS	5450087	704646	952	181	0.190126050420168	0.129290780128831	1.47053061502698	0.385623298262706	0.394293935822425	0.155860482589033	0.632727389055816	Artery_Aorta
Mouth_teeth	TReCASE	5450087	1043144	751	232	0.308921438082557	0.19139951343896	1.61401370636753	0.478724061984887	0.478914379148297	0.29896686171807	0.658861896578523	Artery_Aorta
Mouth_teeth	OLS	5450087	704646	751	132	0.175765645805593	0.129290780128831	1.35946001432161	0.307087572610482	0.299345549009737	0.0103312510796258	0.588359846939847	Artery_Aorta
Psychiatric_neurologic	TReCASE	5450087	1043144	15524	4522	0.291290904406081	0.19139951343896	1.52189992112482	0.41995950243183	0.423279332255229	0.326386337702601	0.520172326807857	Artery_Aorta
Psychiatric_neurologic	OLS	5450087	704646	15524	3270	0.210641587219789	0.129290780128831	1.62920810756882	0.488094073190748	0.49379650114147	0.358508611133681	0.62908439114926	Artery_Aorta
Respiratory	TReCASE	5450087	1043144	6737	2110	0.313195784473801	0.19139951343896	1.63634577145194	0.492465567592164	0.499814915293192	0.330998781236483	0.668631049349901	Artery_Aorta
Respiratory	OLS	5450087	704646	6737	1470	0.218198010984118	0.129290780128831	1.68765329412272	0.523338980600368	0.532307857446973	0.345843404060204	0.718772310833741	Artery_Aorta
Skeletal	TReCASE	5450087	1043144	4061	1160	0.285643930066486	0.19139951343896	1.49239632292787	0.400383098496825	0.401795924282437	0.299478323179245	0.50411352538563	Artery_Aorta
Skeletal	OLS	5450087	704646	4061	778	0.191578428958385	0.129290780128831	1.48176404201048	0.39323329828034	0.395428753879409	0.275774830429446	0.515082677329371	Artery_Aorta
Skin	TReCASE	5450087	1043144	1380	527	0.381884057971015	0.19139951343896	1.99521958603517	0.690754112472824	0.702484551581232	0.513498159920193	0.891470943242271	Artery_Aorta
Skin	OLS	5450087	704646	1380	377	0.273188405797101	0.129290780128831	2.11297669891762	0.748097711085006	0.766567819939176	0.508260507792904	1.02487513208545	Artery_Aorta
substance_addiction	TReCASE	5450087	1043144	1129	321	0.284322409211692	0.19139951343896	1.48549180770183	0.395745901063066	0.406132716171332	0.183098652226959	0.629166780115704	Artery_Aorta
substance_addiction	OLS	5450087	704646	1129	214	0.189548272807795	0.129290780128831	1.46606179202353	0.382579752660435	0.390857564127512	0.183797007420559	0.597918120834465	Artery_Aorta
gwas_catalog	TReCASE	5546074	584917	118578	22265	0.18776670208639	0.105465055100238	1.78036888055412	0.576820579099886	0.579596119163946	0.499982240736917	0.659209997590974	Artery_Coronary
gwas_catalog	OLS	5546074	293386	118578	11400	0.0961392501138491	0.0528997629674613	1.81738527208495	0.597398804408346	0.602152874072479	0.485898389256827	0.71840735888813	Artery_Coronary
Aging	TReCASE	5546074	584917	1479	154	0.104124408384043	0.105465055100238	0.987288237654444	-0.0127932480845982	-0.00523323812854016	-0.225617655838553	0.215151179581473	Artery_Coronary
Aging	OLS	5546074	293386	1479	85	0.0574712643678161	0.0528997629674613	1.0864181830676	0.0828862146737655	0.0927565712621126	-0.163605875571711	0.349119018095936	Artery_Coronary
Anthropometric	TReCASE	5546074	584917	16109	3462	0.214910919361847	0.105465055100238	2.03774529068028	0.711843946950762	0.718415550114897	0.577309045267766	0.859522054962028	Artery_Coronary
Anthropometric	OLS	5546074	293386	16109	1747	0.10844869327705	0.0528997629674613	2.05007900212629	0.71787833003034	0.729713000336926	0.519581154080274	0.939844846593579	Artery_Coronary
Blood	TReCASE	5546074	584917	26576	6458	0.243001204093919	0.105465055100238	2.30409213613894	0.834686731677717	0.835532822004636	0.772283077467265	0.898782566542007	Artery_Coronary
Blood	OLS	5546074	293386	26576	3294	0.12394641782059	0.0528997629674613	2.34304297160707	0.851450499778758	0.852394575493857	0.762528814995997	0.942260335991716	Artery_Coronary
Cardiometabolic	TReCASE	5546074	584917	12641	2445	0.193418242227672	0.105465055100238	1.83395573106029	0.606475235625987	0.607484026808568	0.523578464298462	0.691389589318674	Artery_Coronary
Cardiometabolic	OLS	5546074	293386	12641	1203	0.0951665216359465	0.0528997629674613	1.79899712772784	0.58722935837337	0.588284663504016	0.471230126087822	0.705339200920211	Artery_Coronary
Circadian	TReCASE	5546074	584917	499	71	0.142284569138277	0.105465055100238	1.34911577112479	0.299449393502369	0.312914623256182	-0.0200424059105595	0.645871652422923	Artery_Coronary
Circadian	OLS	5546074	293386	499	33	0.0661322645290581	0.0528997629674613	1.25014292728941	0.22325788660921	0.245246594771362	-0.211662059213353	0.702155248756077	Artery_Coronary
Colon	TReCASE	5546074	584917	657	80	0.121765601217656	0.105465055100238	1.15455874082581	0.143718228401843	0.152643724378839	-0.112688892976043	0.41797634173372	Artery_Coronary
Colon	OLS	5546074	293386	657	40	0.060882800608828	0.0528997629674613	1.15090876014467	0.140551856523575	0.160888261514489	-0.247527391488054	0.569303914517032	Artery_Coronary
Digestion	TReCASE	5546074	584917	774	79	0.102067183462532	0.105465055100238	0.96778201429396	-0.0327484089101332	-0.0190049864212649	-0.305657562392174	0.267647589549644	Artery_Coronary
Digestion	OLS	5546074	293386	774	38	0.0490956072351421	0.0528997629674613	0.928087471116664	-0.0746292929690925	-0.0257539758456016	-0.619331993549515	0.567824041858312	Artery_Coronary
Education_wealth	TReCASE	5546074	584917	4741	865	0.182450959713141	0.105465055100238	1.72996600191155	0.548101756242333	0.554986245444071	0.345153543824779	0.764818947063363	Artery_Coronary
