nm,int,od,b.gPC1,b.gPC2,b.PF1,b.PF2,b.PF3,b.PF4,b.PF5,b.cnd,e.int,e.od,e.gPC1,e.gPC2,e.PF1,e.PF2,e.PF3,e.PF4,e.PF5,e.cnd,pval,status,qval
ENSG00000240038.6,-1.51367699485318,NA,-0.00469278887892956,0.209133247718745,0.00819308277315615,-0.0050757577547641,0.0229889421428119,-0.0014374333782643,0.018921484973624,0.0598540481066811,0.303398594429555,NA,0.957085670553457,0.308850901385552,0.761878361785094,0.852580966457452,0.529363341262894,0.959107214024701,0.542325321647321,0.155894809491799,0.156193506468028,1,0.824952963417485
ENSG00000198890.7,3.66824497518061,NA,-0.316046031180305,-0.0278150248052057,-0.0292637227221121,0.107757182254935,-0.139530494991466,-0.0358206957872395,-0.0561605194314965,-0.102788300796327,0.424909091638769,NA,0.193299052454168,0.638516415956286,0.754183585938383,0.333704591829621,0.218919914522762,0.68022581977629,0.643480970887297,0.439418315099644,0.439218188676542,1,0.9022608331042
ENSG00000085491.15,-1.44229654779473,NA,-0.0290499885049205,0.0553839818977243,-0.0269102633614397,0.00806748186864921,0.0211249061035494,-0.0504872415797244,0.046573602876693,0.0436219936753007,0.389452798217969,NA,0.264447706684427,0.300003824618504,0.355876999303858,0.784892349988661,0.612813338290479,0.107813119271429,0.211674331305135,0.36499438651167,0.365001213674482,1,0.893527675577645
ENSG00000177133.10,1.95884545781579,-7.72547115760044,0.0130988668532724,0.0263289174819633,-0.0371246434232027,0.0449507511834787,-0.0269735833855108,-0.0360581764539877,-0.133785597202979,-0.0577037214135432,0.541553737124417,0.568625951189139,0.76717942703182,0.570142654581902,0.529772973822533,0.47481561511576,0.723307611163011,0.500451721933427,0.0833803626302881,0.532106918791341,0.534338102730708,0,0.917767153314257
ENSG00000121957.12,7.33321823845969,-4.89997993706416,0.0250153681085597,-0.153252645928311,-0.128501472549972,0.0515927536553552,-0.0905143874271102,-0.00791492087413616,-0.101624947011684,-0.204897767059653,0.00330008676172803,1.99704257000151e-09,0.554799593816265,0.250055408413999,0.00443877553929071,0.255700609110787,0.119895115881002,0.8511066970441,0.0990179379814059,0.00425617630195956,0.00434388697817656,0,0.503453087234053
ENSG00000121940.15,0.0779655261404363,-6.35933137608392,0.00876444414305229,-0.0273832325772162,-0.015102007876846,-0.00935334509005549,0.00405893505922968,0.00959712249037517,-0.02130856170256,-0.00260787997329409,0.951104810708634,1.71692622748363e-08,0.754484976623557,0.608718268069379,0.515214544115866,0.686029885453125,0.89227060799088,0.684370267696491,0.429302702443299,0.943175367491177,0.943225768645738,0,0.962475487776925
ENSG00000197780.9,5.21496904836363,NA,-6.66731270421638,-2.15339986088904,0.364938591342901,0.226004294363035,0.0823387970033271,-0.292576444390989,0.244815363642022,-0.0695969365293924,0.313498419397414,NA,0.00579932180460532,0.109186438634259,0.0174270887031273,0.0622153045056338,0.425469476291779,0.14401669063577,0.0444791079789134,0.643019748891599,0.643018650224703,1,0.929636498611602
ENSG00000215717.5,-2.40353618084706,NA,-0.0245839109031207,0.0522065408600183,-0.00634079658643493,-0.0313306207009144,0.0525597753373522,-0.046685543785329,0.0430095727515173,0.0729481036035393,0.14810660617455,NA,0.522079470987748,0.299697174024257,0.768706800798827,0.171453650717858,0.190533698016681,0.0495922878251764,0.171187824790826,0.126494587873938,0.126423603772643,1,0.813739323011298
ENSG00000142611.16,4.59880126708294,NA,-0.0257752495129105,0.0120173465923437,-0.00855473279801507,0.0870050277499439,-0.16502249446089,-0.0218181382072651,-0.0637990672339683,-0.133372098418255,0.184138535285905,NA,0.593403923639986,0.827829843528481,0.889607624024771,0.247021045613461,0.0699759794473161,0.706532930782339,0.442192319491656,0.180881634708429,0.180198225821469,1,0.843041475812448
ENSG00000143126.7,-4.40566772766926,NA,0.033135383204339,0.0413187696937975,-0.0104765472312435,-0.0468733085332458,0.0828435906973157,0.0875136542656529,-0.0291879204494579,0.130751045580709,0.11821972769927,NA,0.609532848568246,0.315267117555889,0.786666689857746,0.427530969930651,0.244755396789132,0.051819508406398,0.636094768248869,0.10817654970955,0.107888724331178,1,0.803842609389837
