nm,int,od,b.gPC1,b.gPC2,cnd,e.int,e.od,e.gPC1,e.gPC2,e.cnd,pval,status,qval
ENSG00000064607.16,0.861563306998195,-6.55971125255993,0.00652672601211997,-0.00643919946141251,-0.0283950263616218,0.00905494980925777,9.34754328617333e-49,0.517460430019994,0.727940211202118,0.0148707730743729,0.0155036638836835,0,0.30594821511225
ENSG00000181035.13,0.601934258016119,-5.14090420060701,-0.0108230051921695,0.0389290187835322,-0.0158852241075827,0.246834914868955,2.95613543067152e-95,0.528171626206259,0.177066096014519,0.386855413671548,0.387156116648196,0,0.723761607345665
ENSG00000183186.7,6.77392502823953,-1.90332161100506,-0.0303972588366909,0.0247841116371027,-0.225652358712826,0.0841794250494004,5.71265401621439e-09,0.859815822437038,0.776350152457821,0.104199091415219,0.109499362152145,0,0.556366505586376
ENSG00000064545.14,3.11095643300525,-4.21185637848674,0.0274265726243911,-0.0343143501783585,-0.0863412038535001,0.000239510518039112,1.75828540160001e-113,0.227455516235122,0.341616854587885,0.00403711833323211,0.00488459154267636,0,0.18093575035505
ENSG00000105705.15,0.482162574894633,-8.64241396228981,-0.0296179909730186,0.0311885565489327,-0.0137881924079347,0.238617272268218,0.0874641808854484,0.0224700732230875,0.397583241698641,0.339703147473998,0.341855384127567,0,0.700434567573217
ENSG00000129933.20,0.260713910167677,-6.623677002135,0.0354643147744454,-0.00848043108163779,-0.00552048764930079,0.323245484470872,4.89858259699698e-132,0.000277801879356003,0.189196890819498,0.554885023021242,0.554974686362497,0,0.767647050468337
ENSG00000167491.17,-0.218412701965921,-7.44643718667476,0.00439366286645512,-0.0284060156071043,0.00800712864511311,0.506740958185418,7.47385765494239e-15,0.704675895664688,0.324002038262966,0.490565067967258,0.492673726009874,0,0.75533854512907
ENSG00000250067.11,-0.277055283476409,-5.17934727866738,0.0235258457456217,-0.0817111987237739,0.0247491940155199,0.783256423537536,2.50910644372456e-12,0.48412290447544,0.125573670632891,0.487481718097654,0.48729083091767,0,0.754558780496051
ENSG00000089639.10,0.818754199897685,NA,0.0673005744908109,0.913867882092031,-0.0279310352023214,0.854695344365817,NA,0.740987836895086,0.677644089873085,0.857120800957358,0.857200423282896,1,0.829923185219903
ENSG00000105708.8,-4.63586459365143,NA,-0.193588028169078,1.39572013878706,0.167483501001367,0.221331214564797,NA,0.397002052422943,0.50039392399236,0.203660230753545,0.199962313648348,1,0.6365648252911
ENSG00000266904.5,-1.89241294559526,-3.92521113540896,-0.344805909625831,-0.664376021441213,0.0745043479746819,0.45497849112929,1.14523918864661e-09,0.716022790579579,0.0942481992971075,0.394976118833112,0.398056125833364,0,0.725153311653655
ENSG00000081665.13,-0.261699679057776,-4.33917315338032,-0.0166253899905216,-0.000143296493510688,-0.0136585168076171,0.772091320174806,2.83479213311642e-40,0.611377672082568,0.994649346320025,0.669337097246137,0.67164925780631,0,0.793140711577484
ENSG00000267481.1,1.29522435868488,-6.04668799665727,-0.048348445096809,0.0434625388825813,-0.0514721530556988,0.476339132678702,0.166319216319756,0.552395415026031,0.951738828964788,0.414278546388974,0.416598230934965,0,0.732991474661399
ENSG00000256771.3,2.17373746316455,-4.47909690202556,0.0311343018521757,-0.0200547089644882,-0.0651830077699854,0.138914199119664,6.16975091386123e-11,0.550334912626862,0.499077241953165,0.208217652463455,0.20795351315822,0,0.638173084057715
ENSG00000184635.14,0.38316260964304,-3.76271771904207,-0.0924300203422392,-0.0915105861862826,-0.0263686444170761,0.92021775867695,0.0025871870449421,0.320969287054283,0.638028027423058,0.844381818807046,0.844585631457319,0,0.828662039912829
ENSG00000197124.11,-1.84765030440529,-2.52093999245258,0.0313345933674979,0.709828137861274,0.0968446115400725,0.648864891078082,2.04004109152818e-09,0.750172189616446,0.22947863698614,0.499804991323957,0.504307835541353,0,0.757829465872373
ENSG00000237440.8,5.29532018949176,NA,-0.0872406565161461,-1.58095355842426,-0.172240483835833,0.425936845852932,NA,0.729118655298801,0.406365383365119,0.458187708625474,0.452784533175488,1,0.745656215022575
